Module Category,Country,Message Category,Message Code,Message Content,"Source Key (tham khảo, khong nhap)"
APS,한국어,라벨,aps_actionPanel_header,Action,actionPanel.header
APS,영어,라벨,aps_actionPanel_header,Action,actionPanel.header
APS,베트남어,라벨,aps_actionPanel_header,Action,actionPanel.header
APS,중국어,라벨,aps_actionPanel_header,Action,actionPanel.header
APS,한국어,라벨,aps_actionPanel_materialName,자재명,actionPanel.materialName
APS,영어,라벨,aps_actionPanel_materialName,Material Name,actionPanel.materialName
APS,베트남어,라벨,aps_actionPanel_materialName,Tên vật liệu,actionPanel.materialName
APS,중국어,라벨,aps_actionPanel_materialName,物料名称,actionPanel.materialName
APS,한국어,라벨,aps_actionPanel_memoPlaceholder,메모를 입력하세요,actionPanel.memoPlaceholder
APS,영어,라벨,aps_actionPanel_memoPlaceholder,Enter memo,actionPanel.memoPlaceholder
APS,베트남어,라벨,aps_actionPanel_memoPlaceholder,Nhập ghi chú,actionPanel.memoPlaceholder
APS,중국어,라벨,aps_actionPanel_memoPlaceholder,请输入备注,actionPanel.memoPlaceholder
APS,한국어,라벨,aps_actionPanel_onHand,현재고,actionPanel.onHand
APS,영어,라벨,aps_actionPanel_onHand,On-hand Stock,actionPanel.onHand
APS,베트남어,라벨,aps_actionPanel_onHand,Tồn hiện tại,actionPanel.onHand
APS,중국어,라벨,aps_actionPanel_onHand,当前库存,actionPanel.onHand
APS,한국어,라벨,aps_actionPanel_requestQty,요청수량,actionPanel.requestQty
APS,영어,라벨,aps_actionPanel_requestQty,Request Qty,actionPanel.requestQty
APS,베트남어,라벨,aps_actionPanel_requestQty,SL yêu cầu,actionPanel.requestQty
APS,중국어,라벨,aps_actionPanel_requestQty,请求数量,actionPanel.requestQty
APS,한국어,라벨,aps_actionPanel_selectRow,행을 선택하세요,actionPanel.selectRow
APS,영어,라벨,aps_actionPanel_selectRow,Select a row,actionPanel.selectRow
APS,베트남어,라벨,aps_actionPanel_selectRow,Chọn 1 dòng,actionPanel.selectRow
APS,중국어,라벨,aps_actionPanel_selectRow,请选择一行,actionPanel.selectRow
APS,한국어,라벨,aps_actionPanel_shortageQty,부족수량,actionPanel.shortageQty
APS,영어,라벨,aps_actionPanel_shortageQty,Shortage Qty,actionPanel.shortageQty
APS,베트남어,라벨,aps_actionPanel_shortageQty,SL thiếu,actionPanel.shortageQty
APS,중국어,라벨,aps_actionPanel_shortageQty,短缺数量,actionPanel.shortageQty
APS,한국어,라벨,aps_actionPanel_titleBoth,일정조정+구매요청,actionPanel.titleBoth
APS,영어,라벨,aps_actionPanel_titleBoth,Schedule Adjustment + Purchase Request,actionPanel.titleBoth
APS,베트남어,라벨,aps_actionPanel_titleBoth,Điều chỉnh lịch + Yêu cầu mua hàng,actionPanel.titleBoth
APS,중국어,라벨,aps_actionPanel_titleBoth,日程调整+采购请求,actionPanel.titleBoth
APS,한국어,라벨,aps_aiPanel_affectedOrder,영향받는 오더: 총 {count}개의 작업이 영향을 받고 있습니다.,aiPanel.affectedOrder
APS,영어,라벨,aps_aiPanel_affectedOrder,Affected orders: {count} operations impacted in total.,aiPanel.affectedOrder
